codigo_estacao;data;hora;temp_inst;temp_max;temp_min;umid_inst;umid_max;umid_min;pto_orvalho_inst;pto_orvalho_max;pto_orvalho_min;pressao;pressao_max;pressao_min;vento_direcao;vento_vel; vento_rajada;radiacao;precipitacao
A753;01/07/2019;02;14,6;15,6;14,5;87;87;83;12,3;12,9;12,1;948,1;948,3;948,1;;;;-3,54;0,0
A753;01/07/2019;00;16,4;17,5;16,3;82;82;79;13,4;13,9;13,1;947,7;947,8;947,2;;;;-3,54;0,0
A753;01/07/2019;01;15,5;16,6;15,5;84;84;80;12,9;13,5;12,5;948,1;948,1;947,7;;;;-3,54;0,0
A753;01/07/2019;23;16,3;19,8;16,3;74;77;65;11,7;13,6;11,7;945,5;945,6;945,3;1,4;175;2,8;-3,54;0,0
A753;01/07/2019;22;19,8;21,7;19,6;65;65;59;13,1;13,6;12,7;945,5;945,5;945,3;0,9;50;2,0;-3,54;0,0
A753;01/07/2019;21;21,7;26,9;21,7;59;59;39;13,3;13,3;12,0;945,4;945,4;945,1;0,6;176;2,2;80,27;0,0
A753;01/07/2019;20;26,9;29,5;26,9;39;39;28;11,9;11,9;8,7;945,1;945,1;945,0;1,4;224;4,8;644,5;0,2
A753;01/07/2019;19;29,2;29,6;28,9;29;31;28;9,3;10,4;8,8;945,1;945,4;945,0;2,2;292;;1242,;1,2
A753;01/07/2019;18;29,2;29,5;28,6;30;32;29;10,0;10,7;9,4;945,4;946,1;945,4;;;;1725,;0,0
A753;01/07/2019;17;29,1;29,7;28,3;31;32;29;10,4;11,1;8,8;946,1;946,9;946,1;;;;2178,;0,0
A753;01/07/2019;16;28,5;29,3;27,6;32;34;30;10,2;11,1;9,2;946,9;948,4;946,9;;;;2323,;0,0
A753;01/07/2019;15;28,4;28,4;26,9;33;35;31;10,5;11,0;9,2;948,4;949,3;948,4;;;;2292,;0,0
A753;01/07/2019;14;27,6;27,7;25,2;34;45;33;10,2;12,6;9,7;949,3;949,8;949,3;;;;2046,;0,0
A753;01/07/2019;13;25,3;25,8;20,9;45;63;44;12,5;13,8;12,5;949,8;949,9;949,7;;;;1590,;0,0
